clip,lr,pot_num,train_epa_rmse,train_forces_rmse,val_epa_rmse,val_forces_rmse,train_time,steps,epochs,final_loss
10,0.01,3,0.5345020533889755,0.795660328021567,0.4920348424854081,1.1606110138506698,271.4002378825098,1000,199,131.42344212278357
10,0.01,4,0.4047813083430597,0.7424364259042112,0.3661709338290246,1.116587866517071,274.2117196712643,1000,199,399.43743904103627
10,0.01,5,0.5779010445881732,0.6969597525901122,0.5323875382823896,1.036456574852209,285.08336196653545,1000,199,31.497089047587302
15,0.001,1,0.21238662480712087,0.9896385364443592,0.25589575960316824,1.4530767660651962,289.62315955758095,1000,199,86.36436276003049
15,0.001,2,0.2579214591186293,1.136241853128356,0.28525433389617216,1.6869468353532864,270.6561892554164,1000,199,96.29512429686638
15,0.001,3,0.18413339376056564,0.9918311241410441,0.21058203485869065,1.4511472703967478,251.38560424372554,1000,199,54.57151912536854
15,0.001,4,0.3319664976976158,1.2551011959248695,0.37231217662332844,1.68530332541892,250.15450398810208,1000,199,132.3466202347345
15,0.001,5,0.309426513879061,0.9055971985509598,0.36464782184726335,1.343543098526524,250.8605403266847,1000,199,38.607570485037016
15,0.003,1,0.35928350972202555,0.5375152181490135,0.3610621173314711,0.8355030957069425,248.4891705121845,1000,199,11.322367110516447
15,0.003,2,0.35435600127412714,0.769728541708145,0.36894423090767015,1.1536805083306443,250.08049288764596,1000,199,33.71775809976059
15,0.003,3,0.31253337665369135,0.7667620411032138,0.2973512560454256,1.134228871466078,252.52755379863083,1000,199,82.55565582691892
15,0.003,4,0.1916721637744128,0.6827168486653091,0.18846185546002073,1.0261746493333341,251.18982025794685,1000,199,119.1463812174765
15,0.003,5,0.25402180340586417,0.5733504218093148,0.24010471506010586,0.9023669286853984,243.29224562458694,1000,199,103.94810040408521
15,0.01,1,2.2321471512953623,4.551734382608439,1.620413869388415,3.0722137320015435,250.95386089012027,1000,199,1193.021751803863
15,0.01,2,2.6245166025189532,5.660132408089814,2.1626180106052604,4.221140365078532,251.7652984019369,1000,199,247.13635061680856
15,0.01,3,0.8089422077810614,0.9579081685910613,0.7236942993281664,1.230075506739027,247.2192944958806,1000,199,21.21825318680975
15,0.01,4,0.7234677719541284,1.4022918105721092,0.6369141033435174,1.4442154581644389,251.57700684852898,1000,199,999.3884925944094
15,0.01,5,0.6845864552504064,1.4732001335519587,0.5753822439281102,1.35956302398784,251.9823604952544,1000,199,520.8827781396756
